,index,batsman,bowler,P0,P1,P2,P3,P4,P6,bowler_cluster,batsman_cluster
54,15724,TM Dilshan,SL Malinga,0.529411764705882,0.215686274509804,0.0784313725490196,0,0.117647058823529,0.0588235294117647,6.0,8.0
55,15689,TM Dilshan,LJ Wright,0.333333333333333,0.666666666666667,0,0,0,0,0.0,8.0
56,15646,TM Dilshan,AB Dinda,0.523809523809524,0.285714285714286,0,0,0.19047619047619,0,5.0,8.0
57,15675,TM Dilshan,JE Taylor,0.5,0.2,0.1,0,0.2,0,0.0,8.0
58,15719,TM Dilshan,Shakib Al Hasan,0,0.75,0,0,0.25,0,3.0,8.0
59,15640,TM Dilshan,A Kumble,0.411764705882353,0.529411764705882,0,0,0.0588235294117647,0,2.0,8.0
60,15658,TM Dilshan,DE Bollinger,1,0,0,0,0,0,2.0,8.0
61,15704,TM Dilshan,R Bhatia,0.4,0.6,0,0,0,0,5.0,8.0
62,15713,TM Dilshan,RR Raje,0,0,0,0,1,0,0.0,8.0
63,15707,TM Dilshan,R Vinay Kumar,0.181818181818182,0.454545454545455,0.0909090909090909,0,0.272727272727273,0,6.0,8.0
64,15677,TM Dilshan,JH Kallis,0.5,0.333333333333333,0,0,0,0.166666666666667,5.0,8.0
65,15685,TM Dilshan,Kamran Khan,0,1,0,0,0,0,0.0,8.0
66,15641,TM Dilshan,A Mishra,0.307692307692308,0.538461538461538,0.0769230769230769,0,0.0769230769230769,0,1.0,8.0
67,15706,TM Dilshan,R Sharma,0.5625,0.3125,0,0,0.0625,0.0625,2.0,8.0
68,15715,TM Dilshan,S Sreesanth,0.6875,0.125,0,0,0.1875,0,2.0,8.0
69,15668,TM Dilshan,I Sharma,0.529411764705882,0.235294117647059,0.117647058823529,0,0.0588235294117647,0.0588235294117647,5.0,8.0
70,15692,TM Dilshan,MC Henriques,0.571428571428571,0.142857142857143,0.142857142857143,0,0.142857142857143,0,2.0,8.0
71,15688,TM Dilshan,L Balaji,0.6,0.2,0,0,0.2,0,5.0,8.0
72,15666,TM Dilshan,Harbhajan Singh,0.388888888888889,0.416666666666667,0.0555555555555556,0,0.111111111111111,0.0277777777777778,1.0,8.0
73,15728,TM Dilshan,V Pratap Singh,0.4,0.3,0,0,0.2,0.1,4.0,8.0
74,15717,TM Dilshan,SB Jakati,0.6,0,0.4,0,0,0,3.0,8.0
75,15700,TM Dilshan,Pankaj Singh,0.227272727272727,0.363636363636364,0.181818181818182,0,0.181818181818182,0.0454545454545455,4.0,8.0
76,15667,TM Dilshan,Harmeet Singh,0.416666666666667,0.416666666666667,0,0,0.166666666666667,0,2.0,8.0
77,15696,TM Dilshan,MR Marsh,0.333333333333333,0.5,0,0,0.166666666666667,0,4.0,8.0
78,15732,TM Dilshan,Y Venugopal Rao,0.571428571428571,0.142857142857143,0,0,0.142857142857143,0.142857142857143,4.0,8.0
