,player_name,prediction
278,ND Doshi,0
279,NJ Maddinson,0
280,NK Patel,7
281,NL McCullum,0
282,NLTC Perera,9
283,NM Coulter-Nile,0
284,NS Naik,0
285,NV Ojha,4
286,OA Shah,9
287,P Awana,0
288,P Chopra,0
289,P Dogra,7
290,P Kumar,9
291,P Negi,9
292,P Sahu,0
293,PA Patel,1
294,PA Reddy,7
295,PC Valthaty,9
296,PD Collingwood,7
297,PJ Cummins,0
298,PJ Sangwan,0
299,PP Chawla,3
300,PP Ojha,0
301,PP Shaw,7
302,PR Shah,7
303,PSP Handscomb,0
304,PV Tambe,0
305,Pankaj Singh,0
306,Parvez Rasool,0
307,Q de Kock,8
308,R Ashwin,9
309,R Bhatia,9
310,R Bishnoi,0
311,R Dhawan,7
312,R Dravid,1
313,R McLaren,7
314,R Ninan,0
315,R Rampaul,0
316,R Sathish,9
317,R Sharma,0
318,R Shukla,0
319,R Tewatia,0
320,R Vinay Kumar,9
321,RA Jadeja,6
322,RA Tripathi,3
323,RE Levi,0
324,RE van der Merwe,7
325,RG Sharma,2
326,RJ Harris,7
327,RJ Peterson,0
328,RJ Quiney,7
329,RK Bhui,0
330,RK Singh,0
331,RN ten Doeschate,9
332,RP Singh,0
333,RR Bhatkal,0
334,RR Pant,8
335,RR Powar,0
336,RR Raje,0
337,RR Rossouw,0
338,RR Sarwan,0
339,RS Bopara,3
340,RS Gavaskar,0
341,RT Ponting,7
342,RV Gomez,0
343,RV Uthappa,5
344,Rashid Khan,0
345,S Anirudha,7
346,S Aravind,0
347,S Badree,0
348,S Badrinath,4
349,S Chanderpaul,0
350,S Dhawan,5
351,S Gopal,0
352,S Kaul,0
353,S Kaushik,0
354,S Ladda,0
355,S Nadeem,0
356,S Narwal,0
357,S Rana,7
358,S Randiv,0
359,S Sohal,9
360,S Sreesanth,0
361,S Sriram,0
362,S Tyagi,0
363,S Vidyut,7
364,SA Abbott,0
365,SA Asnodkar,9
366,SA Yadav,8
367,SB Bangar,0
368,SB Jakati,0
369,SB Joshi,0
370,SB Styris,7
371,SB Wagh,0
372,SC Ganguly,4
373,SD Chitnis,7
374,SE Bond,0
375,SE Marsh,1
376,SJ Srivastava,0
377,SK Raina,2
378,SK Trivedi,0
379,SK Warne,7
380,SL Malinga,7
381,SM Katich,7
382,SM Pollock,7
383,SMSM Senanayake,0
384,SN Khan,7
385,SN Thakur,0
386,SP Fleming,7
387,SP Goswami,9
388,SP Jackson,0
389,SP Narine,3
390,SPD Smith,6
391,SR Tendulkar,1
392,SR Watson,1
393,SS Iyer,8
394,SS Shaikh,0
395,SS Tiwary,4
396,ST Jayasuriya,3
397,STR Binny,3
398,SV Samson,6
399,SW Billings,9
400,SW Tait,0
401,Sachin Baby,7
402,Salman Butt,7
403,Sandeep Sharma,0
404,Shahid Afridi,0
405,Shakib Al Hasan,3
406,Shivam Mavi,0
407,Shivam Sharma,0
408,Shoaib Ahmed,0
409,Shoaib Akhtar,0
410,Shoaib Malik,0
411,Shubman Gill,7
412,Sohail Tanvir,0
413,Sunny Gupta,0
414,Sunny Singh,0
415,Swapnil Singh,0
416,T Henderson,0
417,T Kohli,0
418,T Taibu,0
419,T Thushara,0
420,TA Boult,0
421,TD Paine,0
422,TG Southee,7
423,TK Curran,0
424,TL Suman,3
425,TM Dilshan,8
426,TM Head,7
427,TM Srivastava,0
428,TR Birt,0
429,TS Mills,0
430,UA Birla,0
431,UBT Chand,9
432,UT Khawaja,7
433,UT Yadav,7
434,Umar Gul,0
435,V Kohli,2
436,V Pratap Singh,0
437,V Sehwag,1
438,V Shankar,9
439,VH Zol,0
440,VR Aaron,0
441,VRV Singh,0
442,VS Malik,0
443,VS Yeligati,0
444,VVS Laxman,9
445,VY Mahesh,0
446,Vishnu Vinod,0
447,W Jaffer,7
448,WA Mota,0
449,WD Parnell,0
450,WP Saha,6
451,WPUJC Vaas,0
452,Washington Sundar,0
453,X Thalaivan Sargunam,0
454,Y Gnaneswara Rao,0
455,Y Nagar,9
456,Y Venugopal Rao,8
457,YK Pathan,1
458,YS Chahal,0
459,YV Takawale,7
460,Yashpal Singh,0
461,Younis Khan,0
462,Yuvraj Singh,1
463,Z Khan,7
