"","batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"1182","DPMD Jayawardene","Umar Gul",1,3,0.333333333333333,0.666666666666667
"1183","DPMD Jayawardene","WD Parnell",1,11,0.0909090909090909,0.909090909090909
"1184","DPMD Jayawardene","YK Pathan",1,34,0.0294117647058824,0.970588235294118
"1185","DR Martyn","P Kumar",1,3,0.333333333333333,0.666666666666667
"1186","DR Smith","A Kumble",1,1,1,0
"1187","DR Smith","A Mishra",1,37,0.027027027027027,0.972972972972973
"1188","DR Smith","A Nehra",1,6,0.166666666666667,0.833333333333333
"1189","DR Smith","AB Dinda",1,10,0.1,0.9
"1190","DR Smith","Ankit Sharma",1,22,0.0454545454545455,0.954545454545455
"1191","DR Smith","Anureet Singh",1,1,1,0
"1192","DR Smith","AR Patel",1,13,0.0769230769230769,0.923076923076923
"1193","DR Smith","AS Rajpoot",1,1,1,0
"1194","DR Smith","B Kumar",2,39,0.0512820512820513,0.948717948717949
"1195","DR Smith","BCJ Cutting",1,3,0.333333333333333,0.666666666666667
"1196","DR Smith","DJ Bravo",1,5,0.2,0.8
"1197","DR Smith","Harbhajan Singh",4,51,0.0784313725490196,0.92156862745098
"1198","DR Smith","HV Patel",2,11,0.181818181818182,0.818181818181818
"1199","DR Smith","I Sharma",1,39,0.0256410256410256,0.974358974358974
"1200","DR Smith","Imran Tahir",2,11,0.181818181818182,0.818181818181818
"1201","DR Smith","Iqbal Abdulla",1,49,0.0204081632653061,0.979591836734694
"1202","DR Smith","J Syed Mohammad",1,5,0.2,0.8
"1203","DR Smith","JA Morkel",1,36,0.0277777777777778,0.972222222222222
"1204","DR Smith","JH Kallis",1,13,0.0769230769230769,0.923076923076923
"1205","DR Smith","JP Faulkner",1,32,0.03125,0.96875
"1206","DR Smith","KK Cooper",1,11,0.0909090909090909,0.909090909090909
"1207","DR Smith","KV Sharma",1,37,0.027027027027027,0.972972972972973
"1208","DR Smith","KW Richardson",1,4,0.25,0.75
"1209","DR Smith","L Balaji",1,39,0.0256410256410256,0.974358974358974
"1210","DR Smith","M Muralitharan",2,9,0.222222222222222,0.777777777777778
"1211","DR Smith","MA Starc",1,30,0.0333333333333333,0.966666666666667
"1212","DR Smith","MC Henriques",1,1,1,0
"1213","DR Smith","MM Sharma",1,23,0.0434782608695652,0.956521739130435
"1214","DR Smith","NLTC Perera",1,7,0.142857142857143,0.857142857142857
"1215","DR Smith","P Kumar",1,40,0.025,0.975
"1216","DR Smith","PJ Cummins",2,10,0.2,0.8
"1217","DR Smith","PP Chawla",1,8,0.125,0.875
"1218","DR Smith","PP Ojha",1,14,0.0714285714285714,0.928571428571429
"1219","DR Smith","R Ashwin",1,22,0.0454545454545455,0.954545454545455
"1220","DR Smith","R Bhatia",1,16,0.0625,0.9375
"1221","DR Smith","R Rampaul",1,7,0.142857142857143,0.857142857142857
"1222","DR Smith","RA Jadeja",1,20,0.05,0.95
"1223","DR Smith","RE van der Merwe",1,2,0.5,0.5
"1224","DR Smith","S Aravind",2,11,0.181818181818182,0.818181818181818
"1225","DR Smith","S Nadeem",2,45,0.0444444444444444,0.955555555555556
"1226","DR Smith","Sandeep Sharma",2,16,0.125,0.875
"1227","DR Smith","SB Jakati",2,23,0.0869565217391304,0.91304347826087
"1228","DR Smith","Shakib Al Hasan",2,19,0.105263157894737,0.894736842105263
"1229","DR Smith","SK Warne",1,13,0.0769230769230769,0.923076923076923
"1230","DR Smith","SL Malinga",1,28,0.0357142857142857,0.964285714285714
"1231","DR Smith","SM Harwood",1,5,0.2,0.8
"1232","DR Smith","Sohail Tanvir",1,2,0.5,0.5
"1233","DR Smith","SP Narine",1,16,0.0625,0.9375
"1234","DR Smith","ST Jayasuriya",2,19,0.105263157894737,0.894736842105263
"1235","DR Smith","STR Binny",2,14,0.142857142857143,0.857142857142857
"1236","DR Smith","VR Aaron",1,5,0.2,0.8
"1237","DR Smith","VY Mahesh",1,4,0.25,0.75
"1238","DR Smith","WD Parnell",1,9,0.111111111111111,0.888888888888889
"1239","DR Smith","YK Pathan",1,8,0.125,0.875
"1240","DR Smith","YS Chahal",1,31,0.032258064516129,0.967741935483871
"1241","DS Kulkarni","BA Bhatt",1,3,0.333333333333333,0.666666666666667
"1242","DS Kulkarni","CJ Jordan",1,5,0.2,0.8
"1243","DS Kulkarni","MA Starc",1,7,0.142857142857143,0.857142857142857
"1244","DS Kulkarni","MM Patel",1,2,0.5,0.5
"1245","DS Kulkarni","YS Chahal",1,4,0.25,0.75
"1246","DS Lehmann","IK Pathan",1,7,0.142857142857143,0.857142857142857
"1247","DS Lehmann","MF Maharoof",1,2,0.5,0.5
"1248","DT Christian","Azhar Mahmood",1,3,0.333333333333333,0.666666666666667
"1249","DT Christian","CH Morris",1,2,0.5,0.5
"1250","DT Christian","DS Kulkarni",1,4,0.25,0.75
"1251","DT Christian","Harbhajan Singh",1,20,0.05,0.95
"1252","DT Christian","Iqbal Abdulla",1,5,0.2,0.8
"1253","DT Christian","JEC Franklin",1,1,1,0
"1254","DT Christian","JR Hopes",1,6,0.166666666666667,0.833333333333333
"1255","DT Christian","MM Patel",2,12,0.166666666666667,0.833333333333333
"1256","DT Christian","NLTC Perera",1,2,0.5,0.5
"1257","DT Christian","PC Valthaty",1,8,0.125,0.875
"1258","DT Christian","R Bhatia",1,6,0.166666666666667,0.833333333333333
"1259","DT Christian","SB Jakati",1,3,0.333333333333333,0.666666666666667
"1260","DT Christian","SK Trivedi",1,7,0.142857142857143,0.857142857142857
"1261","DT Christian","UT Yadav",1,6,0.166666666666667,0.833333333333333
"1262","DT Christian","Yuvraj Singh",1,14,0.0714285714285714,0.928571428571429
"1263","DT Christian","Z Khan",1,1,1,0
"1264","DT Patil","SK Warne",1,7,0.142857142857143,0.857142857142857
"1265","DW Steyn","A Singh",1,2,0.5,0.5
"1266","DW Steyn","AB McDonald",1,2,0.5,0.5
"1267","DW Steyn","B Kumar",1,2,0.5,0.5
"1268","DW Steyn","CH Morris",1,3,0.333333333333333,0.666666666666667
"1269","DW Steyn","CRD Fernando",1,3,0.333333333333333,0.666666666666667
"1270","DW Steyn","Harmeet Singh",1,1,1,0
"1271","DW Steyn","JD Unadkat",1,9,0.111111111111111,0.888888888888889
"1272","DW Steyn","Joginder Sharma",1,2,0.5,0.5
"1273","DW Steyn","JP Faulkner",1,8,0.125,0.875
"1274","DW Steyn","KA Pollard",1,6,0.166666666666667,0.833333333333333
"1275","DW Steyn","L Balaji",1,6,0.166666666666667,0.833333333333333
"1276","DW Steyn","M Morkel",1,3,0.333333333333333,0.666666666666667
"1277","DW Steyn","RA Jadeja",1,10,0.1,0.9
"1278","DW Steyn","SL Malinga",2,11,0.181818181818182,0.818181818181818
"1279","DW Steyn","SP Narine",1,2,0.5,0.5
"1280","DW Steyn","UT Yadav",1,8,0.125,0.875
"1281","DW Steyn","WD Parnell",1,5,0.2,0.8
"1282","DW Steyn","Z Khan",1,4,0.25,0.75
"1283","EJG Morgan","AN Ahmed",1,2,0.5,0.5
"1284","EJG Morgan","Azhar Mahmood",2,24,0.0833333333333333,0.916666666666667
"1285","EJG Morgan","BA Bhatt",1,3,0.333333333333333,0.666666666666667
"1286","EJG Morgan","BE Hendricks",1,2,0.5,0.5
"1287","EJG Morgan","DJ Bravo",1,22,0.0454545454545455,0.954545454545455
"1288","EJG Morgan","DT Christian",1,12,0.0833333333333333,0.916666666666667
"1289","EJG Morgan","J Yadav",1,7,0.142857142857143,0.857142857142857
"1290","EJG Morgan","JA Morkel",1,8,0.125,0.875
"1291","EJG Morgan","JP Duminy",1,8,0.125,0.875
"1292","EJG Morgan","KK Cooper",1,8,0.125,0.875
"1293","EJG Morgan","KV Sharma",1,5,0.2,0.8
"1294","EJG Morgan","M Kartik",1,2,0.5,0.5
"1295","EJG Morgan","MA Starc",1,5,0.2,0.8
"1296","EJG Morgan","MG Johnson",1,9,0.111111111111111,0.888888888888889
"1297","EJG Morgan","MJ McClenaghan",1,12,0.0833333333333333,0.916666666666667
"1298","EJG Morgan","MM Sharma",1,16,0.0625,0.9375
"1299","EJG Morgan","MR Marsh",2,4,0.5,0.5
"1300","EJG Morgan","NM Coulter-Nile",1,8,0.125,0.875
"1301","EJG Morgan","PV Tambe",1,12,0.0833333333333333,0.916666666666667
"1302","EJG Morgan","R Ashwin",1,8,0.125,0.875
"1303","EJG Morgan","RP Singh",1,15,0.0666666666666667,0.933333333333333
"1304","EJG Morgan","S Nadeem",1,4,0.25,0.75
"1305","EJG Morgan","SK Raina",1,9,0.111111111111111,0.888888888888889
"1306","EJG Morgan","SR Watson",1,13,0.0769230769230769,0.923076923076923
"1307","EJG Morgan","TG Southee",1,7,0.142857142857143,0.857142857142857
"1308","EJG Morgan","UT Yadav",2,13,0.153846153846154,0.846153846153846
"1309","EJG Morgan","Z Khan",1,12,0.0833333333333333,0.916666666666667
"1310","ER Dwivedi","B Kumar",1,6,0.166666666666667,0.833333333333333
"1311","ER Dwivedi","SR Watson",1,3,0.333333333333333,0.666666666666667
"1312","F Behardien","AB Dinda",1,5,0.2,0.8
"1313","F Behardien","YS Chahal",1,1,1,0
"1314","F du Plessis","Ankit Sharma",1,28,0.0357142857142857,0.964285714285714
"1315","F du Plessis","Azhar Mahmood",1,3,0.333333333333333,0.666666666666667
"1316","F du Plessis","B Kumar",1,19,0.0526315789473684,0.947368421052632
"1317","F du Plessis","B Lee",1,1,1,0
"1318","F du Plessis","GB Hogg",1,23,0.0434782608695652,0.956521739130435
"1319","F du Plessis","Harbhajan Singh",3,50,0.06,0.94
"1320","F du Plessis","HV Patel",1,7,0.142857142857143,0.857142857142857
"1321","F du Plessis","J Suchith",1,7,0.142857142857143,0.857142857142857
"1322","F du Plessis","JA Morkel",1,13,0.0769230769230769,0.923076923076923
"1323","F du Plessis","JP Duminy",1,9,0.111111111111111,0.888888888888889
"1324","F du Plessis","JP Faulkner",1,15,0.0666666666666667,0.933333333333333
"1325","F du Plessis","KK Cooper",1,15,0.0666666666666667,0.933333333333333
"1326","F du Plessis","KW Richardson",1,2,0.5,0.5
"1327","F du Plessis","M Morkel",1,6,0.166666666666667,0.833333333333333
"1328","F du Plessis","M Muralitharan",1,9,0.111111111111111,0.888888888888889
"1329","F du Plessis","MC Henriques",1,15,0.0666666666666667,0.933333333333333
"1330","F du Plessis","MG Johnson",2,7,0.285714285714286,0.714285714285714
"1331","F du Plessis","MJ McClenaghan",1,17,0.0588235294117647,0.941176470588235
"1332","F du Plessis","MM Sharma",1,8,0.125,0.875
"1333","F du Plessis","MN Samuels",1,16,0.0625,0.9375
"1334","F du Plessis","Mohammed Shami",1,2,0.5,0.5
"1335","F du Plessis","PV Tambe",1,26,0.0384615384615385,0.961538461538462
"1336","F du Plessis","R Bhatia",1,22,0.0454545454545455,0.954545454545455
"1337","F du Plessis","R Dhawan",1,10,0.1,0.9
"1338","F du Plessis","R Sharma",1,19,0.0526315789473684,0.947368421052632
"1339","F du Plessis","R Vinay Kumar",1,29,0.0344827586206897,0.96551724137931
"1340","F du Plessis","Shakib Al Hasan",1,6,0.166666666666667,0.833333333333333
"1341","F du Plessis","SL Malinga",2,27,0.0740740740740741,0.925925925925926
"1342","F du Plessis","TP Sudhindra",1,1,1,0
"1343","F du Plessis","V Pratap Singh",1,4,0.25,0.75
"1344","F du Plessis","YS Chahal",1,20,0.05,0.95
"1345","FH Edwards","SL Malinga",1,2,0.5,0.5
"1346","FY Fazal","M Muralitharan",1,5,0.2,0.8
"1347","FY Fazal","MF Maharoof",1,2,0.5,0.5
"1348","FY Fazal","PP Ojha",1,10,0.1,0.9
"1349","FY Fazal","RP Singh",1,16,0.0625,0.9375
"1350","FY Fazal","SB Jakati",1,3,0.333333333333333,0.666666666666667
"1351","FY Fazal","SE Bond",1,9,0.111111111111111,0.888888888888889
"1352","G Gambhir","A Ashish Reddy",1,10,0.1,0.9
"1353","G Gambhir","A Mishra",1,31,0.032258064516129,0.967741935483871
"1354","G Gambhir","A Nehra",1,20,0.05,0.95
"1355","G Gambhir","A Nel",1,4,0.25,0.75
"1356","G Gambhir","A Singh",1,23,0.0434782608695652,0.956521739130435
"1357","G Gambhir","AD Mascarenhas",3,28,0.107142857142857,0.892857142857143
"1358","G Gambhir","AN Ahmed",1,10,0.1,0.9
"1359","G Gambhir","Anand Rajan",1,14,0.0714285714285714,0.928571428571429
"1360","G Gambhir","Azhar Mahmood",1,4,0.25,0.75
"1361","G Gambhir","BCJ Cutting",1,7,0.142857142857143,0.857142857142857
"1362","G Gambhir","BW Hilfenhaus",1,15,0.0666666666666667,0.933333333333333
"1363","G Gambhir","CH Morris",3,21,0.142857142857143,0.857142857142857
"1364","G Gambhir","CK Langeveldt",1,5,0.2,0.8
"1365","G Gambhir","D Wiese",1,4,0.25,0.75
"1366","G Gambhir","DJ Bravo",1,23,0.0434782608695652,0.956521739130435
"1367","G Gambhir","DJ Hooda",1,9,0.111111111111111,0.888888888888889
"1368","G Gambhir","DW Steyn",1,67,0.0149253731343284,0.985074626865672
"1369","G Gambhir","Gurkeerat Singh",1,7,0.142857142857143,0.857142857142857
"1370","G Gambhir","Harbhajan Singh",4,78,0.0512820512820513,0.948717948717949
"1371","G Gambhir","HH Pandya",1,10,0.1,0.9
"1372","G Gambhir","IC Pandey",3,18,0.166666666666667,0.833333333333333
"1373","G Gambhir","IK Pathan",1,55,0.0181818181818182,0.981818181818182
"1374","G Gambhir","Imran Tahir",1,12,0.0833333333333333,0.916666666666667
"1375","G Gambhir","J Botha",1,19,0.0526315789473684,0.947368421052632
"1376","G Gambhir","J Suchith",1,13,0.0769230769230769,0.923076923076923
"1377","G Gambhir","JH Kallis",1,26,0.0384615384615385,0.961538461538462
"1378","G Gambhir","JJ Bumrah",1,20,0.05,0.95
"1379","G Gambhir","JO Holder",1,4,0.25,0.75
"1380","G Gambhir","JR Hopes",1,5,0.2,0.8
"1381","G Gambhir","KA Pollard",1,10,0.1,0.9
"1382","G Gambhir","Karanveer Singh",1,1,1,0
"1383","G Gambhir","KV Sharma",1,23,0.0434782608695652,0.956521739130435
"1384","G Gambhir","L Balaji",2,23,0.0869565217391304,0.91304347826087
"1385","G Gambhir","M Kartik",1,21,0.0476190476190476,0.952380952380952
"1386","G Gambhir","M Morkel",1,19,0.0526315789473684,0.947368421052632
"1387","G Gambhir","MA Starc",2,8,0.25,0.75
"1388","G Gambhir","MC Henriques",1,37,0.027027027027027,0.972972972972973
"1389","G Gambhir","MG Johnson",2,26,0.0769230769230769,0.923076923076923
"1390","G Gambhir","MJ McClenaghan",1,32,0.03125,0.96875
"1391","G Gambhir","MM Patel",2,36,0.0555555555555556,0.944444444444444
"1392","G Gambhir","MM Sharma",1,22,0.0454545454545455,0.954545454545455
"1393","G Gambhir","MR Marsh",1,4,0.25,0.75
"1394","G Gambhir","MS Gony",2,27,0.0740740740740741,0.925925925925926
"1395","G Gambhir","NM Coulter-Nile",1,21,0.0476190476190476,0.952380952380952
"1396","G Gambhir","P Kumar",2,58,0.0344827586206897,0.96551724137931
"1397","G Gambhir","P Sahu",1,11,0.0909090909090909,0.909090909090909
"1398","G Gambhir","Pankaj Singh",1,8,0.125,0.875
"1399","G Gambhir","PP Ojha",5,45,0.111111111111111,0.888888888888889
"1400","G Gambhir","R Ashwin",2,47,0.0425531914893617,0.957446808510638
"1401","G Gambhir","R Bhatia",1,17,0.0588235294117647,0.941176470588235
"1402","G Gambhir","R Vinay Kumar",2,64,0.03125,0.96875
"1403","G Gambhir","RJ Harris",1,9,0.111111111111111,0.888888888888889
"1404","G Gambhir","RP Singh",2,34,0.0588235294117647,0.941176470588235
"1405","G Gambhir","RR Powar",1,13,0.0769230769230769,0.923076923076923
"1406","G Gambhir","RV Gomez",1,1,1,0
"1407","G Gambhir","S Aravind",3,22,0.136363636363636,0.863636363636364
"1408","G Gambhir","S Narwal",1,8,0.125,0.875
"1409","G Gambhir","S Tyagi",1,4,0.25,0.75
"1410","G Gambhir","Sandeep Sharma",2,38,0.0526315789473684,0.947368421052632
"1411","G Gambhir","SB Jakati",1,22,0.0454545454545455,0.954545454545455
"1412","G Gambhir","Shoaib Ahmed",1,5,0.2,0.8
"1413","G Gambhir","Shoaib Akhtar",1,3,0.333333333333333,0.666666666666667
"1414","G Gambhir","SK Trivedi",2,35,0.0571428571428571,0.942857142857143
"1415","G Gambhir","SL Malinga",2,36,0.0555555555555556,0.944444444444444
"1416","G Gambhir","SR Watson",3,68,0.0441176470588235,0.955882352941177
"1417","G Gambhir","VR Aaron",1,35,0.0285714285714286,0.971428571428571
"1418","G Gambhir","VRV Singh",1,6,0.166666666666667,0.833333333333333
"1419","G Gambhir","WD Parnell",2,47,0.0425531914893617,0.957446808510638
"1420","G Gambhir","YS Chahal",1,15,0.0666666666666667,0.933333333333333
"1421","G Gambhir","Z Khan",5,74,0.0675675675675676,0.932432432432432
"1422","GB Hogg","HV Patel",1,5,0.2,0.8
"1423","GB Hogg","MM Patel",1,2,0.5,0.5
"1424","GC Smith","A Mishra",1,16,0.0625,0.9375
"1425","GC Smith","AB Dinda",1,21,0.0476190476190476,0.952380952380952
"1426","GC Smith","BAW Mendis",1,4,0.25,0.75
"1427","GC Smith","DP Nannes",1,17,0.0588235294117647,0.941176470588235
"1428","GC Smith","FH Edwards",1,2,0.5,0.5
"1429","GC Smith","Harbhajan Singh",1,7,0.142857142857143,0.857142857142857
"1430","GC Smith","I Sharma",1,21,0.0476190476190476,0.952380952380952
"1431","GC Smith","IK Pathan",1,13,0.0769230769230769,0.923076923076923
"1432","GC Smith","JA Morkel",1,22,0.0454545454545455,0.954545454545455
"1433","GC Smith","JH Kallis",1,20,0.05,0.95
"1434","GC Smith","M Muralitharan",1,41,0.024390243902439,0.975609756097561
"1435","GC Smith","MF Maharoof",1,17,0.0588235294117647,0.941176470588235
"1436","GC Smith","MM Patel",1,6,0.166666666666667,0.833333333333333
"1437","GC Smith","P Kumar",2,35,0.0571428571428571,0.942857142857143
"1438","GC Smith","PJ Sangwan",1,23,0.0434782608695652,0.956521739130435
"1439","GC Smith","R Sathish",1,1,1,0
"1440","GC Smith","RA Jadeja",1,2,0.5,0.5
"1441","GC Smith","RP Singh",1,22,0.0454545454545455,0.954545454545455
"1442","GC Smith","RR Powar",1,12,0.0833333333333333,0.916666666666667
"1443","GC Smith","SB Joshi",1,9,0.111111111111111,0.888888888888889
"1444","GC Smith","Shahid Afridi",1,23,0.0434782608695652,0.956521739130435
"1445","GC Smith","SK Raina",1,16,0.0625,0.9375
"1446","GC Smith","SM Pollock",1,6,0.166666666666667,0.833333333333333
"1447","GC Smith","Umar Gul",1,3,0.333333333333333,0.666666666666667
"1448","GC Smith","WPUJC Vaas",1,11,0.0909090909090909,0.909090909090909
"1449","GD McGrath","DS Kulkarni",1,2,0.5,0.5
"1450","GH Vihari","Anureet Singh",1,5,0.2,0.8
"1451","GH Vihari","B Kumar",2,13,0.153846153846154,0.846153846153846
"1452","GH Vihari","DJ Bravo",1,4,0.25,0.75
"1453","GH Vihari","DS Kulkarni",1,7,0.142857142857143,0.857142857142857
"1454","GH Vihari","Iqbal Abdulla",1,7,0.142857142857143,0.857142857142857
"1455","GH Vihari","KK Cooper",1,3,0.333333333333333,0.666666666666667
"1456","GH Vihari","M Morkel",1,6,0.166666666666667,0.833333333333333
"1457","GH Vihari","PP Chawla",2,18,0.111111111111111,0.888888888888889
"1458","GH Vihari","R Bhatia",1,1,1,0
"1459","GH Vihari","Sandeep Sharma (1)",1,3,0.333333333333333,0.666666666666667
"1460","GH Vihari","SK Raina",1,3,0.333333333333333,0.666666666666667
"1461","GH Vihari","SK Trivedi",1,6,0.166666666666667,0.833333333333333
"1462","GH Vihari","SL Malinga",2,16,0.125,0.875
"1463","GH Vihari","VS Malik",1,3,0.333333333333333,0.666666666666667
"1464","GJ Bailey","A Mishra",1,14,0.0714285714285714,0.928571428571429
"1465","GJ Bailey","A Nehra",2,15,0.133333333333333,0.866666666666667
"1466","GJ Bailey","AR Patel",1,4,0.25,0.75
"1467","GJ Bailey","B Kumar",1,16,0.0625,0.9375
"1468","GJ Bailey","Harbhajan Singh",1,13,0.0769230769230769,0.923076923076923
"1469","GJ Bailey","Imran Tahir",2,11,0.181818181818182,0.818181818181818
"1470","GJ Bailey","JA Morkel",1,3,0.333333333333333,0.666666666666667
"1471","GJ Bailey","JJ Bumrah",1,11,0.0909090909090909,0.909090909090909
"1472","GJ Bailey","JP Faulkner",1,12,0.0833333333333333,0.916666666666667
"1473","GJ Bailey","MC Henriques",3,19,0.157894736842105,0.842105263157895
"1474","GJ Bailey","PP Chawla",2,33,0.0606060606060606,0.939393939393939
"1475","GJ Bailey","R Vinay Kumar",1,8,0.125,0.875
"1476","GJ Bailey","RA Jadeja",1,3,0.333333333333333,0.666666666666667
"1477","GJ Bailey","S Aravind",1,2,0.5,0.5
"1478","GJ Bailey","SP Narine",1,22,0.0454545454545455,0.954545454545455
"1479","GJ Bailey","SR Watson",1,2,0.5,0.5
"1480","GJ Bailey","UT Yadav",1,15,0.0666666666666667,0.933333333333333
"1481","GJ Bailey","YS Chahal",1,11,0.0909090909090909,0.909090909090909
"1482","GJ Maxwell","A Mishra",3,29,0.103448275862069,0.896551724137931
"1483","GJ Maxwell","CH Morris",1,3,0.333333333333333,0.666666666666667
"1484","GJ Maxwell","DJ Bravo",1,3,0.333333333333333,0.666666666666667
"1485","GJ Maxwell","DR Smith",1,17,0.0588235294117647,0.941176470588235
"1486","GJ Maxwell","Harbhajan Singh",1,21,0.0476190476190476,0.952380952380952
"1487","GJ Maxwell","HV Patel",1,8,0.125,0.875
"1488","GJ Maxwell","Imran Tahir",2,15,0.133333333333333,0.866666666666667
"1489","GJ Maxwell","J Suchith",2,5,0.4,0.6
"1490","GJ Maxwell","JD Unadkat",1,2,0.5,0.5
"1491","GJ Maxwell","JJ Bumrah",1,11,0.0909090909090909,0.909090909090909
"1492","GJ Maxwell","JP Faulkner",1,14,0.0714285714285714,0.928571428571429
"1493","GJ Maxwell","KW Richardson",1,7,0.142857142857143,0.857142857142857
"1494","GJ Maxwell","M Morkel",1,15,0.0666666666666667,0.933333333333333
"1495","GJ Maxwell","M Muralitharan",1,4,0.25,0.75
"1496","GJ Maxwell","MC Henriques",1,2,0.5,0.5
"1497","GJ Maxwell","MJ McClenaghan",1,8,0.125,0.875
"1498","GJ Maxwell","MM Sharma",1,7,0.142857142857143,0.857142857142857
"1499","GJ Maxwell","P Kumar",1,3,0.333333333333333,0.666666666666667
"1500","GJ Maxwell","PP Chawla",3,25,0.12,0.88
"1501","GJ Maxwell","R Ashwin",1,42,0.0238095238095238,0.976190476190476
"1502","GJ Maxwell","R Tewatia",1,3,0.333333333333333,0.666666666666667
"1503","GJ Maxwell","RA Jadeja",1,18,0.0555555555555556,0.944444444444444
"1504","GJ Maxwell","S Aravind",1,5,0.2,0.8
"1505","GJ Maxwell","S Gopal",1,1,1,0
"1506","GJ Maxwell","S Kaushik",1,1,1,0
"1507","GJ Maxwell","SP Narine",2,28,0.0714285714285714,0.928571428571429
"1508","GJ Maxwell","SR Watson",1,2,0.5,0.5
"1509","GJ Maxwell","TA Boult",1,2,0.5,0.5
"1510","GJ Maxwell","UT Yadav",2,19,0.105263157894737,0.894736842105263
"1511","GJ Maxwell","VR Aaron",1,1,1,0
"1512","GJ Maxwell","YS Chahal",1,10,0.1,0.9
"1513","GR Napier","CH Gayle",1,8,0.125,0.875
"1514","Gurkeerat Singh","AD Russell",1,11,0.0909090909090909,0.909090909090909
"1515","Gurkeerat Singh","B Kumar",1,2,0.5,0.5
"1516","Gurkeerat Singh","DJ Bravo",2,8,0.25,0.75
"1517","Gurkeerat Singh","DW Steyn",1,5,0.2,0.8
"1518","Gurkeerat Singh","Harbhajan Singh",1,2,0.5,0.5
"1519","Gurkeerat Singh","J Botha",1,9,0.111111111111111,0.888888888888889
"1520","Gurkeerat Singh","M Kartik",1,4,0.25,0.75
"1521","Gurkeerat Singh","M Morkel",1,3,0.333333333333333,0.666666666666667
"1522","Gurkeerat Singh","MA Starc",1,2,0.5,0.5
"1523","Gurkeerat Singh","MC Henriques",1,18,0.0555555555555556,0.944444444444444
"1524","Gurkeerat Singh","P Negi",1,5,0.2,0.8
"1525","Gurkeerat Singh","R Ashwin",2,26,0.0769230769230769,0.923076923076923
"1526","Gurkeerat Singh","SK Trivedi",1,11,0.0909090909090909,0.909090909090909
"1527","Gurkeerat Singh","SL Malinga",1,1,1,0
"1528","Gurkeerat Singh","SP Narine",1,8,0.125,0.875
"1529","Gurkeerat Singh","UT Yadav",1,5,0.2,0.8
"1530","Gurkeerat Singh","YS Chahal",1,7,0.142857142857143,0.857142857142857
"1531","Harbhajan Singh","A Nehra",1,4,0.25,0.75
"1532","Harbhajan Singh","AB Dinda",2,15,0.133333333333333,0.866666666666667
"1533","Harbhajan Singh","AC Gilchrist",1,1,1,0
"1534","Harbhajan Singh","AD Mathews",1,4,0.25,0.75
"1535","Harbhajan Singh","Anureet Singh",1,11,0.0909090909090909,0.909090909090909
"1536","Harbhajan Singh","B Kumar",1,14,0.0714285714285714,0.928571428571429
"1537","Harbhajan Singh","BA Bhatt",1,4,0.25,0.75
"1538","Harbhajan Singh","BJ Hodge",1,4,0.25,0.75
"1539","Harbhajan Singh","BW Hilfenhaus",1,2,0.5,0.5
"1540","Harbhajan Singh","CH Morris",1,3,0.333333333333333,0.666666666666667
"1541","Harbhajan Singh","DE Bollinger",1,12,0.0833333333333333,0.916666666666667
"1542","Harbhajan Singh","DJ Bravo",4,38,0.105263157894737,0.894736842105263
"1543","Harbhajan Singh","IK Pathan",1,11,0.0909090909090909,0.909090909090909
"1544","Harbhajan Singh","L Ablish",1,2,0.5,0.5
"1545","Harbhajan Singh","M Kartik",1,3,0.333333333333333,0.666666666666667
"1546","Harbhajan Singh","M Morkel",1,9,0.111111111111111,0.888888888888889
"1547","Harbhajan Singh","M Muralitharan",1,9,0.111111111111111,0.888888888888889
"1548","Harbhajan Singh","MA Starc",1,4,0.25,0.75
"1549","Harbhajan Singh","MM Sharma",2,21,0.0952380952380952,0.904761904761905
"1550","Harbhajan Singh","NM Coulter-Nile",1,7,0.142857142857143,0.857142857142857
"1551","Harbhajan Singh","P Awana",1,4,0.25,0.75
"1552","Harbhajan Singh","P Kumar",4,6,0.666666666666667,0.333333333333333
"1553","Harbhajan Singh","PP Chawla",1,1,1,0
"1554","Harbhajan Singh","R Bhatia",1,10,0.1,0.9
"1555","Harbhajan Singh","R Rampaul",1,1,1,0
"1556","Harbhajan Singh","RG Sharma",1,6,0.166666666666667,0.833333333333333
"1557","Harbhajan Singh","RP Singh",1,14,0.0714285714285714,0.928571428571429
"1558","Harbhajan Singh","S Aravind",1,3,0.333333333333333,0.666666666666667
"1559","Harbhajan Singh","SK Raina",1,5,0.2,0.8
"1560","Harbhajan Singh","SP Narine",2,3,0.666666666666667,0.333333333333333
"1561","Harbhajan Singh","UT Yadav",1,9,0.111111111111111,0.888888888888889
"1562","Harbhajan Singh","VR Aaron",1,4,0.25,0.75
"1563","Harbhajan Singh","WD Parnell",1,4,0.25,0.75
"1564","Harmeet Singh","M Muralitharan",1,1,1,0
"1565","Harmeet Singh","SP Narine",1,3,0.333333333333333,0.666666666666667
"1566","Harpreet Singh","SP Narine",1,2,0.5,0.5
"1567","Harpreet Singh","SR Watson",1,10,0.1,0.9
"1568","HH Gibbs","A Kumble",1,20,0.05,0.95
"1569","HH Gibbs","A Mishra",1,12,0.0833333333333333,0.916666666666667
"1570","HH Gibbs","A Nehra",1,3,0.333333333333333,0.666666666666667
"1571","HH Gibbs","AB Dinda",1,12,0.0833333333333333,0.916666666666667
"1572","HH Gibbs","B Akhil",1,13,0.0769230769230769,0.923076923076923
