"DJ Bravo","BB Sran","4"
"LMP Simmons","MA Starc","7"
"A Nehra","AD Russell","3"
"SM Pollock","Yuvraj Singh","1"
"SS Iyer","Harbhajan Singh","14"
"SP Fleming","AB Agarkar","6"
"SK Warne","PP Chawla","5"
"MK Pandey","NM Coulter-Nile","10"
"SK Raina","GJ Maxwell","11"
"WP Saha","KV Sharma","30"
"J Theron","SW Tait","2"
"R Bhatia","SB Jakati","1"
"AT Rayudu","RV Gomez","6"
"AJ Finch","BW Hilfenhaus","6"
"KK Nair","R Vinay Kumar","12"
"CA Pujara","AC Voges","8"
"MK Pandey","A Ashish Reddy","2"
"RV Uthappa","R Ashwin","53"
"RG Sharma","KA Pollard","14"
"S Dhawan","Shivam Sharma","5"
"RA Jadeja","S Kaul","8"
"M Kartik","STR Binny","2"
"AA Jhunjhunwala","R Sathish","3"
"PJ Cummins","KV Sharma","3"
"V Kohli","R Sharma","34"
"JH Kallis","BW Hilfenhaus","9"
"KK Nair","A Nehra","1"
"MD Mishra","V Kohli","9"
"Iqbal Abdulla","Anand Rajan","3"
"R Ashwin","R Vinay Kumar","4"
"SPD Smith","VY Mahesh","4"
"MK Tiwary","AJ Tye","7"
"CA Pujara","MM Patel","5"
"KS Williamson","PJ Cummins","15"
"P Negi","YS Chahal","2"
"SA Asnodkar","DP Nannes","2"
"PR Shah","P Parameswaran","1"
"PP Chawla","P Negi","1"
"MC Juneja","S Badree","3"
"J Botha","AD Mathews","3"
"S Badrinath","KA Pollard","49"
"CA Pujara","A Kumble","5"
"DR Smith","PP Chawla","8"
"RA Jadeja","SC Ganguly","6"
"G Gambhir","Harmeet Singh","6"
"A Mukund","S Sreesanth","1"
"SP Narine","MJ McClenaghan","1"
"BJ Hodge","B Lee","16"
"A Mishra","Harmeet Singh","1"
"YK Pathan","S Nadeem","4"
"SS Iyer","Mohammed Siraj","3"
"M Vohra","Ankit Sharma","9"
"KP Pietersen","KJ Abbott","1"
"SC Ganguly","WPUJC Vaas","15"
"Basil Thampi","Sandeep Sharma","5"
"M Vijay","S Ladda","8"
"P Negi","Iqbal Abdulla","1"
"RV Uthappa","A Symonds","9"
"V Kohli","RA Jadeja","98"
"MC Henriques","JJ Bumrah","11"
"CH Gayle","S Badree","11"
"V Sehwag","A Singh","15"
"AC Gilchrist","JA Morkel","35"
"B Sumanth","JH Kallis","1"
"M Vohra","MJ McClenaghan","3"
"L Balaji","SP Narine","2"
"RG Sharma","AC Thomas","3"
"A Chopra","VY Mahesh","4"
"SPD Smith","SP Narine","24"
"S Dhawan","Washington Sundar","14"
"Abdur Razzak","Sohail Tanvir","2"
"VY Mahesh","LR Shukla","4"
"DW Steyn","AR Patel","3"
"WA Mota","DJ Bravo","3"
"AJ Finch","KK Cooper","21"
"LRPL Taylor","S Nadeem","3"
"DA Warner","D Wiese","6"
"LRPL Taylor","SM Pollock","2"
"AD Nath","JJ Bumrah","3"
"AM Nayar","GJ Maxwell","2"
"KA Pollard","R Bhatia","22"
"R Sharma","AD Mascarenhas","1"
"M Manhas","A Symonds","6"
"RS Bopara","TG Southee","2"
"Swapnil Singh","JD Unadkat","4"
"AA Jhunjhunwala","BW Hilfenhaus","1"
"MM Sharma","J Yadav","6"
"J Syed Mohammad","UT Yadav","7"
"RA Jadeja","KC Cariappa","5"
"Mandeep Singh","CR Woakes","7"
"CJ Anderson","BW Hilfenhaus","3"
"MS Bisla","R Ashwin","29"
"AL Menaria","IK Pathan","5"
"GH Vihari","R Vinay Kumar","16"
"JH Kallis","Sohail Tanvir","5"
"BB McCullum","DL Vettori","27"
"KD Karthik","SM Pollock","8"
"DA Miller","TG Southee","6"
"JC Buttler","SN Thakur","3"
"Ishan Kishan","K Rabada","2"
"Harmeet Singh","SP Narine","3"
"MK Tiwary","Mohammed Siraj","2"
"DR Smith","PV Tambe","10"
"PP Chawla","KK Cooper","5"
"Harbhajan Singh","L Balaji","6"
"S Rana","IK Pathan","2"
"MS Dhoni","S Sreesanth","9"
"M Vijay","DJ Bravo","7"
"RA Tripathi","I Sharma","5"
"PP Chawla","RJ Harris","3"
"LA Pomersbach","RG Sharma","4"
"FY Fazal","J Theron","11"
"JP Faulkner","MA Starc","9"
"V Kohli","RN ten Doeschate","2"
"WP Saha","Shakib Al Hasan","17"
"N Rana","TS Mills","4"
"Karanveer Singh","MA Starc","5"
