VR Aaron,6,2,1,4,4,4,10,40,0,0,0,0,0
KJ Abbott,5,3,2,13,12*,13,8,162.5,0,0,1,0,1
YA Abdulla,11,1,1,0,0*,-,1,0,0,0,0,0,0
L Ablish,3,1,1,0,0*,-,2,0,0,0,0,0,0
AD Nath,1,1,0,9,9,9,13,69.23,0,0,0,1,0
MA Agarwal,11,11,1,120,30,12,94,127.65,0,0,1,9,5
HM Amla,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
Anureet Singh,17,7,3,33,15,8.25,43,76.74,0,0,2,2,1
R Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,3,7,5
P Awana,33,7,5,5,4*,2.5,14,35.71,0,0,2,0,0
Azhar Mahmood,22,20,2,382,80,21.22,296,129.05,0,2,2,38,13
GJ Bailey,30,29,9,516,61*,25.8,380,135.78,0,2,0,41,17
L Balaji,9,2,1,1,1*,1,3,33.33,0,0,1,0,0
AB Barath,3,3,1,42,33,21,42,100,0,0,0,5,1
F Behardien,3,3,1,14,9*,7,13,107.69,0,0,1,2,0
BA Bhatt,17,2,1,6,6*,6,7,85.71,0,0,1,0,1
Bipul Sharma,15,9,5,104,35*,26,72,144.44,0,0,0,8,3
MS Bisla,10,10,0,218,75,21.8,178,122.47,0,1,1,27,6
RS Bopara,15,14,1,386,84,29.69,333,115.91,0,3,1,33,10
RR Bose,1,-,-,-,-,-,-,-,-,-,-,-,-
KC Cariappa,9,4,1,15,12*,5,18,83.33,0,0,0,0,1
PP Chawla,87,52,21,401,24*,12.93,355,112.95,0,0,7,36,12
SD Chitnis,7,5,1,75,38,18.75,71,105.63,0,0,0,8,1
P Dharmani,1,-,-,-,-,-,-,-,-,-,-,-,-
R Dhawan,20,13,9,132,25*,33,114,115.78,0,0,0,10,4
P Dogra,3,3,1,15,6,7.5,24,62.5,0,0,0,0,0
JP Faulkner,2,2,1,14,11*,14,13,107.69,0,0,0,0,0
AJ Finch,10,9,1,134,46,16.75,100,134,0,0,2,6,8
Gagandeep Singh,4,-,-,-,-,-,-,-,-,-,-,-,-
CH Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,1,30,27
AC Gilchrist,34,34,3,849,106,27.38,667,127.28,1,4,3,103,28
K Goel,22,17,2,218,38,14.53,231,94.37,0,0,2,17,9
MS Gony,8,5,1,45,42,11.25,25,180,0,0,2,4,3
MJ Guptill,7,7,1,132,50*,22,88,150,0,1,1,17,5
Gurkeerat Singh,30,24,3,342,51,16.28,272,125.73,0,1,4,36,9
Harmeet Singh,10,3,1,18,14,9,11,163.63,0,0,0,3,0
RJ Harris,21,11,4,51,17,7.28,55,92.72,0,0,2,4,1
BE Hendricks,7,3,2,1,1*,1,3,33.33,0,0,1,0,0
MJ Henry,2,-,-,-,-,-,-,-,-,-,-,-,-
JR Hopes,11,11,0,221,71,20.09,148,149.32,0,2,1,27,8
DJ Hussey,36,34,6,695,68*,24.82,577,120.45,0,2,1,51,26
DPMD Jayawardene,36,35,12,837,110*,36.39,594,140.9,1,2,1,87,25
MG Johnson,26,19,10,92,16*,10.22,100,92,0,0,2,5,4
M Kaif,4,3,0,28,14,9.33,30,93.33,0,0,0,2,0
Karanveer Singh,9,4,3,12,5*,12,17,70.58,0,0,0,1,0
KD Karthik,14,13,2,282,69,25.63,220,128.18,0,1,1,32,7
M Kartik,2,-,-,-,-,-,-,-,-,-,-,-,-
SM Katich,11,11,1,241,75,24.1,186,129.56,0,2,1,25,8
U Kaul,5,1,1,0,0*,-,1,0,0,0,0,0,0
T Kohli,2,2,1,1,1,1,4,25,0,0,0,0,0
P Kumar,44,21,9,109,24,9.08,100,109,0,0,3,7,5
B Lee,13,10,6,56,16*,14,56,100,0,0,1,5,2
R McLaren,6,4,1,90,51*,30,96,93.75,0,1,0,7,1
VS Malik,9,1,0,6,6,6,5,120,0,0,0,1,0
Mandeep Singh,41,38,2,763,77*,21.19,632,120.72,0,3,4,95,8
SE Marsh,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
AD Mascarenhas,5,4,1,19,9,6.33,21,90.47,0,0,1,1,0
GJ Maxwell,52,51,5,1186,95,25.78,709,167.27,0,6,8,94,78
DA Miller,69,67,21,1637,101*,35.58,1169,140.03,1,8,1,107,80
EJG Morgan,4,4,0,65,26,16.25,62,104.83,0,0,0,6,2
WA Mota,12,8,2,56,25,9.33,75,74.66,0,0,0,2,0
Mujeeb Ur Rahman,11,2,1,10,10*,10,7,142.85,0,0,1,2,0
NS Naik,2,2,0,23,22,11.5,31,74.19,0,0,0,1,0
KK Nair,13,12,0,301,54,25.08,221,136.19,0,2,0,23,13
T Natarajan,6,-,-,-,-,-,-,-,-,-,-,-,-
AM Nayar,14,13,3,106,24,10.6,116,91.37,0,0,2,11,1
MG Neser,1,-,-,-,-,-,-,-,-,-,-,-,-
AR Patel,68,51,15,686,44,19.05,542,126.56,0,0,4,37,32
IK Pathan,42,35,11,603,60,25.12,460,131.08,0,1,1,47,22
NLTC Perera,2,2,0,12,9,6,15,80,0,0,0,0,1
LA Pomersbach,12,12,5,251,79*,35.85,207,121.25,0,1,0,21,11
RR Powar,22,7,5,56,28*,28,51,109.8,0,0,0,6,1
CA Pujara,6,6,1,125,40*,25,124,100.8,0,0,0,17,0
KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32
AS Rajpoot,8,3,0,11,8,3.66,18,61.11,0,0,0,1,0
NJ Rimmington,1,1,1,1,1*,-,1,100,0,0,0,0,0
WP Saha,57,49,4,1115,115*,24.77,845,131.95,1,5,1,98,37
P Sahu,5,2,1,19,18*,19,13,146.15,0,0,0,1,1
N Saini,10,10,0,140,50,14,141,99.29,0,1,0,16,0
Sandeep Sharma,56,13,12,26,7,26,35,74.28,0,0,0,1,0
KC Sangakkara,37,34,2,1009,94,31.53,779,129.52,0,8,2,117,18
RR Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1
R Sathish,9,8,3,109,27*,21.8,77,141.55,0,0,1,9,5
V Sehwag,25,25,0,554,122,22.16,399,138.84,1,1,1,68,21
I Sharma,6,3,1,8,5*,4,12,66.66,0,0,0,1,0
MM Sharma,37,17,6,93,15,8.45,89,104.49,0,0,0,7,2
Shivam Sharma,5,2,1,5,4,5,3,166.66,0,0,0,1,0
VRV Singh,19,2,0,4,4,2,3,133.33,0,0,1,1,0
RS Sodhi,3,1,1,4,4*,-,2,200,0,0,0,1,0
S Sohal,11,10,0,119,43,11.9,101,117.82,0,0,2,9,8
BB Sran,6,4,3,3,2,3,7,42.85,0,0,0,0,0
S Sreesanth,28,8,7,32,15*,32,42,76.19,0,0,1,6,0
SJ Srivastava,14,4,3,5,3*,5,5,100,0,0,1,0,0
TM Srivastava,7,3,2,8,7,8,11,72.72,0,0,0,0,0
MP Stoinis,19,15,4,262,52,23.81,208,125.96,0,1,1,20,8
Sunny Singh,6,5,1,43,20,10.75,31,138.7,0,0,0,6,1
Swapnil Singh,5,3,0,12,10,4,20,60,0,0,1,0,0
R Tewatia,3,2,1,19,15*,19,11,172.72,0,0,0,4,0
