id,player_name,batting_average,strike_rate
196,JP Duminy,39.78,124.02
197,JP Faulkner,21.08,135.48
198,JPR Scantlebury-Searles,8,133.33
199,JR Hopes,26.06,136.27
200,Jaskaran Singh,8,72.73
201,Joginder Sharma,9,120
202,K Goel,14.53,94.37
203,K Gowtham,14,196.88
204,K Rabada,18.33,85.94
205,K Upadhyay,,133.33
206,KA Pollard,28.14,145.73
207,KAJ Roach,10,111.11
208,KB Arun Karthik,10.2,100
209,KC Cariappa,5,83.33
210,KC Sangakkara,25.95,121.19
211,KD Karthik,26.78,128.73
212,KH Pandya,30.78,153.91
213,KJ Abbott,13,162.5
214,KK Cooper,12.89,170.59
215,KK Nair,25.16,128.77
216,KL Rahul,38.44,139.38
217,KM Jadhav,24.13,134.06
218,KMDN Kulasekara,,166.67
219,KP Appanna,2,50
220,KP Pietersen,37.07,134.72
221,KS Williamson,42.44,137.41
222,KV Sharma,15.1,115.69
223,KW Richardson,12,92.31
224,Kamran Akmal,25.6,164.1
225,Kamran Khan,3,60
226,Karanveer Singh,12,70.59
227,Kuldeep Yadav,10.67,69.57
228,L Ablish,,0
229,L Balaji,4.5,73.47
230,L Ronchi,6.8,100
231,LA Carseldine,20.25,119.12
232,LA Pomersbach,27.45,122.76
233,LE Plunkett,1,33.33
234,LH Ferguson,,100
235,LJ Wright,21.2,176.67
236,LMP Simmons,39.96,126.64
237,LPC Silva,20,153.85
238,LR Shukla,15,115.71
239,LRPL Taylor,25.43,123.72
240,M Ashwin,0.5,33.33
241,M Kaif,14.39,103.6
242,M Kartik,16.14,104.63
243,M Klinger,18.25,94.81
244,M Manhas,22.35,109.36
245,M Markande,10.5,87.5
246,M Morkel,11.45,140
247,M Muralitharan,3.33,66.67
248,M Ntini,11,61.11
249,M Prasidh Krishna,,20
250,M Rawat,11,79.71
251,M Vijay,26.28,123.37
252,M Vohra,23.53,131.77
253,M de Lange,1,50
254,MA Agarwal,16.68,123.87
255,MA Khote,12,109.09
256,MA Starc,13.71,97.96
257,MA Wood,1,33.33
258,MC Henriques,28.5,128.17
259,MC Juneja,17.86,97.66
260,MD Mishra,14.81,113.94
261,MDKJ Perera,7,107.69
262,MEK Hussey,38.76,122.64
263,MF Maharoof,17.7,143.9
264,MG Johnson,12.85,101.83
265,MJ Clarke,16.33,104.26
266,MJ Guptill,21,132.17
267,MJ Lumb,23.17,143.3
268,MJ McClenaghan,7.4,137.04
269,MK Lomror,20,95.24
270,MK Pandey,28.08,119.57
271,MK Tiwary,28.73,116.98
272,ML Hayden,36.9,137.52
273,MM Ali,19.25,167.39
274,MM Patel,6.5,95.12
275,MM Sharma,8.13,106.09
276,MN Samuels,12.38,93.6
277,MN van Wyk,55.67,126.52
278,MP Stoinis,23.82,125.96
279,MR Marsh,18.75,114.8
280,MS Bisla,21,113.68
281,MS Dhoni,40.16,138.2
282,MS Gony,9.9,139.44
283,MS Wade,7.33,66.67
284,MV Boucher,28.14,127.51
285,Mandeep Singh,20.98,123.33
286,Mashrafe Mortaza,,100
287,Misbah-ul-Haq,16.71,144.44
288,Mohammad Ashraful,2,20
289,Mohammad Asif,1.5,50
290,Mohammad Hafeez,9.14,77.11
291,Mohammad Nabi,6.67,133.33
292,Mohammed Shami,6.63,103.92
293,Mohammed Siraj,12.5,113.64
294,Mujeeb Ur Rahman,10,142.86
295,Mustafizur Rahman,1,33.33
296,N Rana,27.44,129.77
297,N Saini,14,99.29
298,ND Doshi,0,0
299,NJ Maddinson,6.67,95.24
300,NJ Rimmington,,100
301,NK Patel,30.25,101.68
302,NL McCullum,26,118.18
303,NLTC Perera,19.18,137.46
304,NM Coulter-Nile,6.5,104
305,NS Naik,11.5,74.19
306,NV Ojha,20.72,118.35
307,OA Shah,33.73,130.08
308,P Awana,2.5,35.71
309,P Chopra,8,133.33
310,P Dogra,11.55,92.03
311,P Kumar,8.95,108.28
312,P Negi,16.18,128.52
313,P Parameswaran,,50
314,P Sahu,19,146.15
315,PA Patel,22.1,118.42
316,PA Reddy,16.4,102.5
317,PC Valthaty,22.95,120.81
318,PD Collingwood,40.6,130.13
319,PJ Cummins,12.83,140
320,PJ Sangwan,3.43,61.54
321,PM Sarvesh Kumar,,50
322,PP Chawla,11.78,111.29
323,PP Ojha,1.33,35.56
324,PP Shaw,27.22,153.13
325,PR Shah,11.5,101.1
326,PSP Handscomb,6,50
327,PV Tambe,9,46.15
328,Pankaj Singh,3.5,58.33
329,Parvez Rasool,8.5,85
330,Q de Kock,28.09,130.38
331,R Ashwin,11.1,107.07
332,R Bhatia,11.4,120.42
333,R Bishnoi,6.33,111.76
334,R Dhawan,21.86,113.33
335,R Dravid,28.23,115.52
336,R McLaren,19.88,92.98
337,R Ninan,3,50
338,R Rampaul,10.2,102
339,R Sathish,15.88,116.88
340,R Sharma,4.71,88
341,R Shukla,19,82.61
342,R Tewatia,17,126.87
343,R Vinay Kumar,11.07,113.14
344,RA Jadeja,23.65,122.79
345,RA Tripathi,26.83,142.17
346,RD Chahar,,150
347,RE Levi,13.83,113.7
348,RE van der Merwe,14.45,112.77
349,RG More,,100
350,RG Sharma,31.87,131.03
351,RJ Harris,9.75,104.46
352,RJ Peterson,10.67,106.67
353,RJ Quiney,14.71,100.98
354,RK Bhui,0,0
355,RK Singh,7.25,93.55
356,RN ten Doeschate,23.29,138.72
357,RP Singh,3.47,68.42
358,RR Bhatkal,0,0
359,RR Pant,35.66,162.71
360,RR Powar,22.33,104.69
361,RR Raje,20,111.11
362,RR Rossouw,10.6,103.92
363,RR Sarwan,18.25,97.33
364,RS Bopara,29.5,117.22
365,RS Gavaskar,2,25
366,RS Sodhi,,200
367,RT Ponting,10.11,71.09
368,RV Gomez,10,98.04
369,RV Uthappa,28.67,131.71
370,Rashid Khan,10,175
371,S Anirudha,17,120.35
372,S Aravind,14.75,103.51
373,S Badree,2.6,56.52
374,S Badrinath,30.66,118.89
375,S Chanderpaul,8.33,80.65
376,S Dhawan,33.26,123.53
377,S Gopal,12.8,88.89
378,S Kaul,4,44.44
379,S Kaushik,0,0
380,S Ladda,0,0
381,S Nadeem,2.67,41.03
382,S Narwal,12.33,137.04
383,S Rana,22.75,112.35
384,S Randiv,2,50
385,S Sohal,18.4,126.03
