Parvez Rasool,4,1,0,10,10,10,9,111.11,0,0,0,1,0
HV Patel,36,14,5,47,10,5.22,34,138.23,0,0,3,2,3
PA Patel,18,18,3,358,57*,23.86,294,121.76,0,2,0,50,5
AUK Pathan,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2
DT Patil,2,2,0,13,9,6.5,13,100,0,0,0,1,0
KP Pietersen,13,13,3,329,66*,32.9,242,135.95,0,2,2,31,10
LA Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,0,4,2
CA Pujara,14,10,0,143,51,14.3,152,94.07,0,1,1,19,1
KL Rahul,19,14,3,417,68*,37.9,287,145.29,0,4,1,41,16
R Rampaul,12,7,2,51,23*,10.2,50,102,0,0,3,3,2
S Rana,9,7,4,73,19*,24.33,65,112.3,0,0,0,7,1
KW Richardson,4,1,1,1,1*,-,1,100,0,0,0,0,0
RR Rossouw,5,5,0,53,24,10.6,51,103.92,0,0,1,3,3
JD Ryder,5,5,0,56,32,11.2,49,114.28,0,0,2,9,0
Sachin Baby,14,9,2,134,33,19.14,94,142.55,0,0,1,11,5
DJG Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0,0
T Shamsi,4,-,-,-,-,-,-,-,-,-,-,-,-
KV Sharma,1,1,0,1,1,1,3,33.33,0,0,0,0,0
RP Singh,11,-,-,-,-,-,-,-,-,-,-,-,-
TG Southee,8,4,2,52,36*,26,46,113.04,0,0,0,5,1
S Sriram,1,1,0,27,27,27,29,93.1,0,0,0,3,0
B Stanlake,2,-,-,-,-,-,-,-,-,-,-,-,-
MA Starc,27,12,5,96,29,13.71,98,97.95,0,0,0,10,0
DW Steyn,28,8,2,15,8,2.5,25,60,0,0,3,2,0
J Syed Mohammad,11,5,3,29,13*,14.5,26,111.53,0,0,0,4,0
YV Takawale,5,5,0,104,45,20.8,91,114.28,0,0,2,17,1
LRPL Taylor,22,22,5,517,81*,30.41,364,142.03,0,2,1,35,31
SS Tiwary,40,30,10,487,52,24.35,464,104.95,0,1,0,26,17
JD Unadkat,13,2,2,2,1*,-,2,100,0,0,0,0,0
RV Uthappa,31,27,4,549,68*,23.86,388,141.49,0,4,1,39,30
RE van der Merwe,11,9,0,123,35,13.66,100,123,0,0,0,8,8
JJ van der Wath,3,3,1,18,14*,9,16,112.5,0,0,1,1,1
DL Vettori,22,10,5,54,20,10.8,54,100,0,0,1,4,2
R Vinay Kumar,64,29,11,237,26*,13.16,204,116.17,0,0,2,16,7
Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1
M Vohra,4,4,0,55,45,13.75,47,117.02,0,0,1,2,4
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,0,5,4
SR Watson,24,22,3,250,36,13.15,212,117.92,0,0,1,20,13
CL White,15,13,4,162,31*,18,135,120,0,0,1,11,7
D Wiese,15,8,4,127,47*,31.75,90,141.11,0,0,0,12,4
CR Woakes,5,4,2,17,11,8.5,19,89.47,0,0,0,1,1
UT Yadav,14,5,1,3,1*,0.75,11,27.27,0,0,2,0,0
Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28
VH Zol,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1
