BJ Rohrer,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5
JJ Roy,5,5,1,120,91*,30,94,127.65,0,1,0,9,7
AD Russell,7,4,0,58,31,14.5,40,145,0,0,0,3,3
AM Salvi,7,-,-,-,-,-,-,-,-,-,-,-,-
SV Samson,28,28,3,677,102,27.08,532,127.25,1,3,2,52,27
MN Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,1,2
GS Sandhu,3,-,-,-,-,-,-,-,-,-,-,-,-
PJ Sangwan,28,9,5,18,6*,4.5,29,62.06,0,0,2,0,0
V Sehwag,79,79,5,2174,119,29.37,1356,160.32,1,15,6,266,85
V Shankar,13,11,7,212,54*,53,148,143.24,0,1,0,11,11
R Sharma,2,-,-,-,-,-,-,-,-,-,-,-,-
PP Shaw,9,9,0,245,65,27.22,160,153.12,0,2,0,27,10
Shoaib Malik,7,5,1,52,24,13,47,110.63,0,0,0,5,0
LR Shukla,5,3,0,31,21,10.33,38,81.57,0,0,1,2,1
R Shukla,3,3,2,18,14,18,21,85.71,0,0,0,2,0
S Sriram,1,1,0,4,4,4,7,57.14,0,0,0,0,0
AP Tare,3,3,0,18,18,6,23,78.26,0,0,2,3,0
LRPL Taylor,16,16,3,256,55,19.69,230,111.3,0,1,1,18,7
R Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,0,5,1
MK Tiwary,24,19,7,322,61*,26.83,272,118.38,0,1,2,39,5
SS Tiwary,7,6,6,109,28*,-,78,139.74,0,0,0,9,5
JD Unadkat,10,2,1,1,1*,1,6,16.66,0,0,1,0,0
RE van der Merwe,10,6,4,36,14,18,41,87.8,0,0,0,3,0
Y Venugopal Rao,25,21,3,468,60,26,406,115.27,0,1,0,38,18
DL Vettori,12,7,4,67,29,22.33,59,113.55,0,0,0,7,0
M Vijay,11,11,0,207,52,18.81,192,107.81,0,1,1,20,5
MS Wade,3,3,0,22,11,7.33,33,66.66,0,0,0,0,0
DA Warner,55,55,5,1435,109*,28.7,1078,133.11,2,10,5,146,58
J Yadav,10,2,0,6,5,3,10,60,0,0,0,0,0
UT Yadav,47,14,10,44,12*,11,54,81.48,0,0,2,3,1
Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,1,23,10
