SPD Smith,24,19,4,440,79*,29.33,331,132.93,0,2,1,46,7
IS Sodhi,6,1,0,1,1,1,6,16.66,0,0,0,0,0
Sohail Tanvir,11,5,2,36,13,12,29,124.13,0,0,0,3,1
TG Southee,10,4,2,17,7*,8.5,13,130.76,0,0,0,2,0
BB Sran,1,-,-,-,-,-,-,-,-,-,-,-,-
S Sreesanth,7,3,2,1,1*,1,4,25,0,0,1,0,0
BA Stokes,13,13,1,196,45,16.33,161,121.73,0,0,1,13,6
SW Tait,21,5,2,23,11,7.66,26,88.46,0,0,1,1,1
PV Tambe,26,5,3,11,3*,5.5,20,55,0,0,0,0,0
LRPL Taylor,12,11,6,181,47*,36.2,152,119.07,0,0,1,11,7
R Tewatia,4,1,0,16,16,16,13,123.07,0,0,0,0,1
J Theron,1,1,1,1,1*,-,1,100,0,0,0,0,0
RA Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,0,18,8
SK Trivedi,76,15,8,42,9,6,59,71.18,0,0,1,3,1
JD Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,1,6,1
A Uniyal,2,2,1,4,4*,4,7,57.14,0,0,1,0,0
PC Valthaty,2,2,0,6,5,3,12,50,0,0,0,1,0
AC Voges,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3
SB Wagh,1,-,-,-,-,-,-,-,-,-,-,-,-
SK Warne,55,29,9,198,34*,9.9,214,92.52,0,0,7,14,6
SR Watson,78,76,11,2372,104*,36.49,1679,141.27,2,14,2,237,109
DH Yagnik,25,17,7,170,34,17,137,124.08,0,0,1,23,2
Younis Khan,1,1,0,3,3,3,7,42.85,0,0,0,0,0
