id,batting_average,strike_rate
357,3.47,68.42
358,0,0
359,35.66,162.71
360,22.33,104.69
361,20,111.11
362,10.6,103.92
363,18.25,97.33
364,29.5,117.22
365,2,25
366,,200
367,10.11,71.09
368,10,98.04
369,28.67,131.71
370,10,175
371,17,120.35
372,14.75,103.51
373,2.6,56.52
374,30.66,118.89
375,8.33,80.65
376,33.26,123.53
377,12.8,88.89
378,4,44.44
379,0,0
380,0,0
381,2.67,41.03
382,12.33,137.04
383,22.75,112.35
384,2,50
385,18.4,126.03
386,8.5,61.82
387,15.5,86.11
388,3,75
389,18.13,133.03
390,7.5,115.38
391,21.15,124.78
392,26.67,131.92
393,7,84.48
394,28,96.55
395,3,42.86
396,18.71,98.5
397,1,66.67
398,25.45,106.81
399,14.14,111.24
400,1,50
401,39.95,132.74
402,5,100
403,34.38,138.43
404,6,71.19
405,9.9,92.52
406,5.5,88.89
407,,64.29
408,24.1,129.57
409,18.38,132.43
410,10,58.82
411,20.73,159.44
412,7.33,157.14
413,21.78,118.79
414,16.28,100.69
415,19,122.58
416,17.44,168.82
417,37.02,131.71
418,34.84,119.82
419,32.42,141.2
420,30.45,129.85
421,6,85.71
422,28.36,119.59
423,27.43,144.36
424,18.84,125.97
425,26.67,127.35
426,18.56,135.77
427,7.67,88.46
428,17.13,135.64
429,27.57,119.88
430,8.67,66.67
431,10.13,176.09
432,21.68,127.29
433,4.33,86.67
434,5,166.67
435,0.5,16.67
436,2,28.57
437,13,110.64
438,33.83,146.04
439,12,124.14
440,0,0
441,10.75,138.71
442,4,60
443,5.5,68.75
444,3.67,57.89
445,10.33,119.23
446,6,66.67
447,5,50
448,5,38.46
449,13.25,130.86
450,7.67,82.14
451,21.13,117.57
452,26.81,114.5
453,29.29,138.51
454,8,72.73
455,,
456,15,129.31
457,2.67,72.73
458,,0
459,7,50
460,15,100
461,21.17,127
462,8.82,96.04
463,13,205.26
464,38.36,130.76
465,0,0
466,27.56,155.44
467,52.17,140.36
468,14.5,111.54
469,11.5,83.64
470,2,133.33
471,7,100
472,2,100
473,15.67,105.62
474,7.5,55.56
475,6.33,73.08
476,16.25,107.44
477,9.33,74.67
478,7,84
479,24.33,129.85
480,10.13,110.96
481,18.5,148
482,10,58.82
483,19,111.76
484,20.36,110.04
485,22.39,117.82
486,,0
487,29.57,144.08
488,5,46.88
489,24,107.87
490,11.75,71.21
491,3,42.86
492,24.79,129.68
493,8.36,82.98
